	SRX4240060	SRX4240061	SRX4240062	SRX4240063	SRX4240068	SRX4240069	SRX4240070	SRX4240071
AT3G47960	135.065593429563	141.123983813831	143.295234574566	157.974242671569	65.2975546244292	42.1103141391091	76.252255312711	69.3832834182383
AT3G47965	8.91295794205239	16.6028216251565	3.80429826304157	8.96797010799302	18.3291381401906	10.2430493851887	11.2966304166979	10.4729484404888
AT3G47990	26.5249862980079	37.6227840916446	25.895149963635	21.00483254708	44.4273260201723	57.3838230057581	43.6663965333949	33.1110768263112
AT3G48000	230.02287611989	207.535270314457	228.257895782494	224.199252699826	235.987653554954	202.584754507066	265.470814792401	303.715504774175
AT3G48030	26.2182724625479	24.3329218386715	26.0191855990414	36.7275560270894	35.2576067494149	31.1362200946405	17.9359087533744	25.5817396159459
AT3G48050	159.429697271849	113.76313413927	150.045284538731	157.398365436593	81.2104017042092	66.1007639183763	144.426253367069	168.113619143393
AT3G48060	56.5508243415724	29.0685014099188	63.3378525952514	67.5331335866468	40.1137070176848	38.7140285803238	91.8279697080503	62.8670248360498
AT3G48070	46.6942273151795	40.0104266264058	15.5575041791517	30.2259103857471	190.870955643845	151.596415141352	176.605314560942	178.051394452885
AT3G48090	32.1944840645929	18.4341953070622	12.3901983486249	25.5720936139523	12.2105598643945	13.0242939888593	19.3913307094342	8.13971666660365
AT3G48110	69.9324392376418	47.0413279379435	81.1583629448869	84.1609502442422	63.0064123569053	51.2152469259435	55.0710732814024	61.5285720878717
AT3G48115	39.8211522201454	51.8345723494262	28.968654230705	33.4088615255499	25.1228155930626	50.5436654148423	12.903096361788	17.9434209053948
AT3G48140	308.182661150196	445.5090469417	296.735264517243	326.985987014515	609.443843161339	744.328255323713	553.534890418199	540.665963240235
AT3G48170	105.927077080546	117.603319844859	79.890263523873	91.7492326433132	117.993826777477	144.540807990996	122.85085578159	146.621278166843
AT3G48190	39.4784518826151	20.1274570324887	39.664247562241	41.0664378513733	11.6506470702026	15.0472831828509	24.6506531975903	10.6511610207806
AT3G48195	22.9680070045196	6.91784234381522	17.753391894194	20.6953156338301	17.1835670064287	20.4860987703774	24.0053396354831	28.8006082113442
AT3G48200	156.319570060611	73.3291288444413	101.447953681109	142.797677873427	91.6456907009532	78.5300452864468	114.378382969067	112.584195735255
AT3G48240	11.9982126143013	17.9863900939196	15.2171930521663	12.417189380298	56.1329855543338	100.154260655178	69.1918613022748	57.6012164226884
AT3G48280	7.88453971796942	6.91784234381522	8.876695947097	8.96797010799302	5.72785566880957	12.5192825818973	15.5328668229597	5.2364742202444
AT3G48310	50.3924929800654	51.1920333442326	30.4343861043326	44.1500066855041	51.5507010192862	43.2484307374634	32.4778124480066	41.8917937619552
AT3G48320	26.3960677514628	23.5206639689718	13.9490936311524	24.1445349061351	13.746853605143	10.2430493851887	8.47247281252345	10.4729484404888
AT3G48330	12.5644364253746	10.8102338129424	16.1005644221155	14.126919141588	35.8027581140105	35.5471133047898	26.2033597173266	24.2927691855356
AT3G48340	33.9378013947379	55.3427387505218	40.5791814724434	27.5937541784401	36.6582762803813	46.6627805325263	22.5932608333959	23.5641339910998
AT3G48350	19.0563368503951	15.9127346289221	7.29234946634913	19.6055105876569	15.3713855429733	13.0897370208032	39.5042809612338	14.2511477262061
AT3G48360	20.7351143675011	13.449403030552	13.7745191349463	12.3971134435659	18.5883980280554	8.65382163372344	6.93731686100775	17.9201246175576
AT3G48380	28.3897177240774	21.8249831830773	18.7533060995987	30.954188142549	23.9084939637305	24.685544841375	26.451226452017	23.2319017675415
AT3G48420	110.726362126266	101.000498219702	107.788450786178	97.2679834790012	124.867253580049	152.507624179476	125.675013385764	112.584195735255
AT3G48430	50.5834305220946	36.9355522994208	45.5785287099452	35.173790842235	55.3698475641456	30.466600896363	68.2674140235831	70.0062632631229
AT3G48460	117.582483620153	189.548880220537	147.099532837607	157.974242671569	261.190218497717	405.169509014131	360.080094532247	299.788149108992
AT3G48470	11.9476805993595	1.37774139228223	9.14285835506024	8.93020034894117	37.6446316506124	23.7997887536125	42.1839495201685	28.6793107471924
AT3G48500	45.3127738177837	36.1157948976723	34.0280895082317	44.5640501643692	51.2336236309332	32.8023722774445	46.3119823968561	40.3330598105455
AT3G48510	3.42806074694323	8.30141081257827	8.876695947097	2.75937541784401	10.3101402038572	18.2098655736688	40.95028526053	14.4003041056721
AT3G48520	7.88453971796942	6.91784234381522	5.07239768405543	9.65781396245402	77.8988370958102	61.4582963111322	96.0213585419324	83.7835875239105
AT3G48530	82.9590700760261	84.3976765945457	55.7963745246097	78.6421994085542	239.42436695624	294.772198973764	296.536548438321	282.769607893198
AT3G48560	1034.58873342747	897.935936227216	1058.86301654657	1100.3009478653	1435.40063060368	1171.12197970658	1639.42348922329	1703.16324013449
AT3G48590	19.8827523322707	15.2192531563935	22.8257895782494	13.107033234759	27.493707210286	36.4197311473376	25.4174184375703	18.3276597708554
AT3G48610	82.2734579266374	77.4798342507305	59.6006727876513	68.9843854461002	57.2785566880957	54.6295967210064	29.6536548438321	44.5100308720774
AT3G48670	29.9149170630127	15.4412333216006	33.4514768678074	33.8065241807479	18.5964774813957	20.7848984251809	13.6950672617042	13.2821268209493
AT3G48680	51.4209112041484	99.6169297509392	76.0859652608314	62.0859469014901	71.0254102932387	120.640359425556	87.548885729409	87.7109431890938
AT3G48690	349.319390113515	457.961163160568	332.242048305631	333.884425559125	482.285447313766	515.566819054498	498.463817136796	430.700004615102
AT3G48700	16.1118855106332	20.7535270314457	25.3619884202771	20.69531563383	10.3101402038572	1.1381165983543	8.47247281252345	7.85471133036661
AT3G48710	32.2237710212663	34.5892117190761	55.7963745246097	45.5296943944261	12.6012824713811	20.4860987703774	28.2415760417448	20.9458968809776
AT3G48720	44.2219836355676	53.9591702817587	48.1877779985266	51.7382890845751	19.4747092739526	11.381165983543	14.1207880208724	9.16382988542771
AT3G48730	184.77247426024	149.425394626409	207.968305046273	208.332844047222	200.474948408335	167.303139958082	192.042717083865	167.567175047821
AT3G48740	216.310633132118	257.343735189926	183.874416047009	174.530495178633	189.019237070716	253.800001433009	138.38372260455	198.986020369287
AT3G48750	55.5345841004803	55.3427387505218	41.8472808934573	43.4601628310431	50.4051298855243	28.4529149588575	52.2469156772279	48.4373865372607
AT3G48760	66.8471845653929	91.3155189383609	68.4773687347483	77.2625116996322	56.1329855543338	60.3201797127779	57.8952308855769	57.6012164226884
AT3G48780	46.3738366935715	51.2971374382929	47.0160109555866	45.6231729489893	52.8044646506533	49.3632993703557	45.2792956418278	55.0958667259363
AT3G48800	44.9075957849563	38.7399171253652	38.0429826304157	33.8023488685891	57.2785566880957	62.5964129094865	69.1918613022748	54.9829793125662
AT3G48820	13.5462955016783	13.5359354446483	12.4062612640959	12.8230701799076	13.9287048784688	17.2975838738471	25.753654644072	17.2436722515305
AT3G48860	38.980750429108	37.440812897311	38.6183764288403	56.3545033812422	47.0555481441271	35.2174827574442	46.0013331662057	34.1140416748475
AT3G48870	202.597462388692	176.555746821658	257.90199658926	215.6246960423	227.272228668704	178.226867342084	232.281226396362	221.870280520783
AT3G48880	33.5023934142767	31.2071975463782	23.4022299649194	37.2867525828047	50.1512765536261	62.2173648661889	67.7283639159829	81.0462169495079
AT3G48890	74.388918208668	78.8634027194935	68.4773687347483	65.5351661737951	143.196391720239	149.093274384413	121.438776979503	107.34772151501
AT3G48930	198.141911173319	249.042324377348	211.772603309314	186.25784070447	187.873665936954	224.208969875797	108.730067760718	153.166870942149
AT3G48990	675.67077322251	734.674856913177	573.180938298263	656.731349446874	392.930898880337	358.506728481605	491.40342312636	560.302741566151
AT3G49000	21.253976631048	26.2878009064978	24.0938889992633	17.246096361525	17.1835670064287	10.2430493851887	8.47247281252345	9.16382988542771
AT3G49010	316.614028160341	577.536425202832	506.832451408657	354.976934855103	377.248434405712	503.963253509259	249.203754613066	326.123907519572
AT3G49050	25.0248434526856	8.30141081257827	16.4852924731801	19.315627924908	8.0189979363334	10.2430493851887	5.64831520834897	14.4003041056721
AT3G49060	32.7096232844004	5.23639489516916	22.7267931516617	30.4492792434185	10.8391145294151	8.39886751652408	12.0246705493606	15.1812522744135
AT3G49080	49.0212686812881	53.9591702817587	68.4773687347483	46.9093821033481	37.8038474141432	33.0053813522747	26.8294972396576	24.8732525461609
AT3G49100	10.1802024044224	14.6761154002371	4.0182074486222	9.47222373099326	19.3597542330593	12.2595048603298	15.0505206348853	15.2100085794993
AT3G49120	156.319570060611	160.493942376513	172.461521257885	141.417990164505	96.2279752360009	124.054709220619	122.85085578159	100.802128739705
AT3G49140	80.9022336278602	67.7948549693892	58.3325733666374	79.3320432630152	75.6076948282864	50.0771303275892	56.4831520834897	43.2009123170163
AT3G49160	3.671700571243	1.532954334259	8.64325660951153	4.95752486095976	62.9059434270654	47.6520156147197	56.2825473866438	65.602562016248
AT3G49210	16.953492761438	15.7279212619858	20.0684559038692	16.3758070673244	10.1977707058643	7.0569329763816	6.98344326923405	7.76910338017187
AT3G49220	176.212384098386	166.383487298938	281.587381322695	208.669123794388	147.218554520802	132.110864279538	155.243114109945	113.979991451564
AT3G49240	64.1047359678384	48.4248964067066	43.1153803144711	57.2570399202631	67.588696891953	39.8340809424005	48.0106792709662	56.2920978676273
AT3G49250	14.0550490624672	11.0685477501044	21.5576901572356	20.005471779369	5.72785566880957	12.5192825818973	8.47247281252345	7.85471133036661
AT3G49260	51.0931405518618	97.4512869698824	113.935684663255	88.5148760694486	36.6763664923163	43.7252443697549	21.4737296979673	18.7935390831068
AT3G49310	20.225558406965	27.6713693752609	21.5576901572356	22.0750033427521	12.6012824713811	17.0717489753145	15.5328668229597	24.8732525461609
AT3G49350	24.6820373779912	22.1370955002087	15.2171930521663	22.0750033427521	17.1835670064287	6.8286995901258	24.0053396354831	11.7820669955499
AT3G49360	12.3410186889956	20.7535270314457	24.0938889992633	18.625784070447	10.3101402038572	18.2098655736688	5.64831520834896	14.4003041056721
AT3G49390	32.9255192635963	13.2273815031254	26.4776597038312	23.0460804880353	20.3313997483927	13.148366257225	17.6903520546207	21.8673047481821
AT3G49430	107.987834366914	106.212389469088	136.247705925347	110.061205947302	135.777366033746	120.61088345574	116.4211875695	123.187731839405
AT3G49470	93.2432523168558	134.206141470015	124.273743259358	104.166422023611	120.284969045001	125.192825818973	74.8401765106238	89.0200617441549
AT3G49490	71.9892756858078	66.4112865006261	78.6221641028591	64.8453223193342	91.6456907009532	79.6681618848011	76.252255312711	104.729484404888
AT3G49500	35.6170992423196	39.0054054152934	29.4207644341909	31.3138254158891	27.0499078691444	27.553121755174	29.9123849136464	28.9979814839348
AT3G49530	19.8827523322707	17.9863900939196	17.753391894194	14.486720943681	29.7848494778098	50.0771303275892	40.95028526053	51.0556236473829
AT3G49560	75.7601425074453	105.151203625991	82.4264623659007	88.3000133710082	126.012824713811	66.0107627045494	70.6039401043621	83.7835875239105
AT3G49570	9.59857009144103	33.2056432503131	17.753391894194	15.176564798142	37.8038474141432	80.8062784831554	63.5435460939259	24.8732525461609
AT3G49580	35.4437071658486	97.3902492281872	78.4842855460631	71.1251549789269	78.3351313871153	102.954903316688	122.933033478964	70.8220656652394
AT3G49590	23.9207208136272	34.0798051663048	23.4266945449544	23.3641478128693	70.6107479460252	89.2364064053844	67.6156500207879	84.9696501094019
AT3G49600	41.1047510546078	23.5023800250566	38.0134096659068	46.4718255568872	25.1829735619856	27.29356502109	38.09649005851	32.7025225770486
AT3G49601	112.440392499738	159.11037390775	144.56333399558	153.835179544803	168.398956663001	233.313902662632	163.80114104212	138.766566836477
AT3G49640	15.6446204564755	21.2370396282351	14.4539489113325	11.4369785941165	17.805486592383	17.7125988962715	11.5598176378133	7.97391788765227
AT3G49650	6.85612149388645	12.4521162188674	12.6809942101386	11.727345525837	6.87342680257149	19.3479821720231	12.7087092187852	23.5641339910998
AT3G49670	133.351563056092	125.904730657437	207.968305046273	144.177365582349	122.576111312525	88.7730946716355	90.3730433335835	83.7835875239105
AT3G49680	108.395483393005	96.2987293177884	121.826265611179	104.81997450261	81.506688466658	58.0165170155715	69.2134487523941	85.1505925537844
AT3G49720	88.1133644196655	83.0256067221518	97.6571804080598	73.8235165841056	44.6339792866929	47.8075182129425	55.0787013829092	48.4440957818644
AT3G49750	6.30414943202367	2.54436050594959	14.575849258666	10.9298859239138	9.48009228952375	11.5113812158065	14.1564648674035	4.81489658705676
AT3G49780	43.536371486179	53.9591702817587	43.1153803144711	37.9414119953551	160.379958726668	190.065471925168	176.509850260905	172.803649268065
AT3G49790	21.253976631048	22.1370955002087	2.53619884202771	8.96797010799302	140.905249452716	125.192825818973	107.31798895863	112.584195735255
AT3G49800	43.536371486179	53.9591702817587	43.1153803144711	48.2890698122701	99.6646886372866	78.5300452864468	135.559565000375	112.584195735255
AT3G49810	25.0248434526856	22.1370955002087	24.0938889992633	26.2140664695181	40.094989681667	50.0771303275892	32.4778124480066	49.7465050923218
AT3G49845	15.9518814179063	10.0310933972123	17.23860801299	11.8785117529979	6.22918089817578	16.686893522852	5.11889894420058	9.58848287019366
AT3G49850	23.9964252286026	20.7535270314457	20.2895907362217	18.625784070447	21.7658515414764	13.6573991802516	5.64831520834896	5.23647422024441
AT3G49870	66.8471845653929	66.4112865006261	62.136871629679	60.0164153381071	129.449538115096	139.988341597579	112.966304166979	129.602736951049
AT3G49880	25.7104556020742	20.7535270314457	25.3619884202771	30.3531295962841	40.094989681667	44.3865473358177	40.95028526053	24.8732525461609
AT3G49900	10.2681731795828	16.4898734369179	12.7319982413492	11.0281701506006	6.90107230649281	2.26074809294845	9.92430811719249	3.94315182182552
AT3G49910	330.122249930633	442.741910004174	400.719417040379	336.643800976969	494.886729785147	496.218836882475	329.014360886327	428.08176750498
AT3G49940	46.2788200837336	67.7948549693892	55.7963745246097	33.8023488685891	19.4747092739526	19.3479821720231	21.1811820313086	17.0185412157943
AT3G49960	12.3410186889956	15.2192531563935	8.876695947097	12.417189380298	1.14557113376191	6.82869959012581	32.4778124480066	7.85471133036661
AT3G49990	106.26988315524	52.5756018129957	82.4264623659007	111.064860568221	44.6772742167147	33.0053813522747	46.598600468879	40.5826752068941
