	SRX4240080	SRX4240082	SRX4240084	SRX4240085
AT3G16770	2528.96038262308	3381.44976743529	2273.97517651202	6974.72347291194
AT3G16780	1173.28328430988	978.807825472026	1627.59826240562	1111.87500651309
AT3G16785	292.149078912433	316.110615958517	298.098801429679	369.849580008934
AT3G16800	493.989477822053	518.61600499286	359.313707915977	313.758204078139
AT3G16810	304.2819877844	185.010929974278	315.771017055257	173.044426100759
AT3G16830	343.742187929351	253.764991789044	455.64274273074	440.359323137007
AT3G16840	1001.55093102435	817.719327012059	1472.14851079491	795.0500245392
AT3G16850	997.904616998983	641.287885654086	1187.49682252771	884.592775216567
AT3G16857	315.901032038112	366.882573886334	428.033834989119	590.50502771314
AT3G16860	28.9374801062974	6.25036925588778	59.3395199835383	14.2051394560325
AT3G16870	313.927814486499	102.50605579656	293.871908489904	82.6480841078253
AT3G16890	53.8940447997203	88.5478055437865	49.0190739448082	57.6059906933952
AT3G16910	257.806640947013	510.030131280443	365.220617041539	498.471257275321
AT3G16920	80.286291193033	127.398469655148	81.178010757513	133.66118834991
AT3G16940	344.389122910126	400.161779899367	324.435908794408	380.058263221568
AT3G16950	922.448833939694	717.076905578694	552.426933427305	833.627862463655
AT3G16990	179.763133993666	102.50605579656	154.706605671368	125.263502475923
AT3G17000	503.336775182264	733.793350641225	390.651839891627	847.142862105209
AT3G17020	2759.49637522968	4280.74914849447	2931.2488885861	4520.9928935155
AT3G17030	42.0908801546144	317.518758199099	60.0459428404852	278.93728386391
AT3G17040	771.422698104432	1391.15977048909	1133.29111836773	1632.7071873161
AT3G17070	52.7785129001842	50.7740890757729	79.3673526600863	53.1123848107713
AT3G17090	524.01142869496	1069.54171678284	616.044763929212	1265.70225801124
AT3G17100	1145.70341385204	942.552450697209	1252.69113569744	1178.76172515656
AT3G17120	107.114050375234	117.178493264531	132.571368805616	109.264611900418
AT3G17130	9.64582670209913	62.5036925588778	4.23853714168131	49.0722999390213
AT3G17160	468.261041720085	382.522598460332	609.642925545161	382.247388998692
AT3G17170	1014.56559039352	778.796009283617	1612.05695955279	716.713854372547
AT3G17185	411.333140545248	213.034720171909	260.70001193279	86.962909410142
AT3G17205	211.041006920493	522.487404402504	334.209729900312	558.828915168912
AT3G17210	875.758734254115	1102.72301093368	1268.92619228747	1570.13234644585
AT3G17225	47.3522401739412	66.2539141124105	9.18349714030949	51.6550525673908
AT3G17240	651.009093115244	807.249561483154	804.183859792907	776.26152998959
AT3G17250	81.5510802995654	73.7543572194758	96.0735085447762	42.6154183680974
AT3G17280	8.76893336554466	12.5007385117756	12.009188568097	7.74825788510862
AT3G17300	235.75587690113	195.044755767381	258.399650566872	184.843964154456
AT3G17310	363.969352038621	239.560484307336	265.158533999782	235.225203810145
AT3G17330	165.364782003891	1463.51517814691	134.944578372053	1625.48203251462
AT3G17340	266.627987907532	228.305118384625	241.295426541646	171.805886392588
AT3G17350	94.4592223382125	175.803948042878	115.334234147712	229.269698166041
AT3G17360	50.9493480922543	114.504287294225	91.9140936981283	80.2062799945508
AT3G17365	115.636429277006	160.028285435998	102.425722362011	120.208282262814
AT3G17380	44.7215601642778	12.5007385117756	18.366994280619	20.6620210269563
AT3G17390	7430.79413396255	1577.59320018608	8396.54207767067	2232.78964722547
AT3G17410	651.801423860056	886.669208934292	691.167516129292	1223.99562488021
AT3G17420	67.5207869146939	97.5057603918493	62.1652114113258	59.4033104524994
AT3G17430	251.29165712633	238.962739992793	321.661622989712	261.627167424695
AT3G17440	845.738810520317	861.065027693756	740.87605438232	1071.38932011764
AT3G17450	198.177894061309	295.017428877903	274.798491352338	322.844078546193
AT3G17460	20.1685467407527	57.5033971541676	32.4954514195567	54.2378051957603
AT3G17465	557.704162048641	845.049923396028	527.697874139322	798.070562166188
AT3G17470	387.155482104125	562.910025372717	326.44593492223	516.775350019584
AT3G17510	1002.45154519841	1022.12654464749	683.49050525098	1111.22936869666
AT3G17520	23.6761200869706	76.2545049218309	33.9082971334504	174.335802414944
AT3G17580	9.64582670209913	1.25007385117756	9.88991999725638	0
AT3G17590	161.474549108769	167.807351181996	188.041139378804	246.773950339755
AT3G17609	20.1359545701205	66.9854703407456	30.1912450281413	77.6251995167561
AT3G17611	133.870935786947	4436.70262443225	102.322513831671	4474.19037297468
AT3G17626	47.3522401739412	18.7511077676633	43.0917942737599	38.7412894255431
AT3G17630	52.4668945683374	94.7747576858378	79.8340790898408	79.1784067911473
AT3G17640	82.4279736361198	65.0038402612329	96.7799314017231	65.8601920234233
AT3G17650	798.07815179441	780.987188552641	777.167601405513	864.04466648904
AT3G17660	21.0901529512869	155.049595459392	23.7862367888083	121.359250620461
AT3G17668	271.068275189876	273.132395905251	141.439202235767	204.866612548933
AT3G17670	104.127973682602	55.9765588081335	108.672240521516	123.362187390856
AT3G17680	112.657433331133	82.4984798999519	157.336144640292	79.2557621344988
AT3G17700	159.410215696137	123.816432635295	159.57265252304	107.310004570902
AT3G17710	49.9829201836046	28.7516985770838	55.100982841857	68.4429446517928
AT3G17712	10.4960978751029	47.8651803786932	20.4344332258333	106.913061205761
AT3G17717	25.4299067600795	25.0014770235511	20.4862628514596	30.9930315404345
AT3G17730	15.7840800579804	16.2509600653082	7.06422856946884	6.45688157092385
AT3G17740	164.85594727224	387.522893865042	158.945142813049	516.550525673908
AT3G17750	244.653240898696	202.511963890764	280.449874207913	256.983886522769
AT3G17770	473.522401739412	638.787737951731	455.64274273074	706.382843859069
AT3G17780	381.448601401193	307.518167389679	408.312411315299	246.652876009291
AT3G17790	77.166613616793	1081.31388126859	87.5964342614136	1199.68859587765
AT3G17800	1506.50275220057	4887.78875810424	1210.80877680696	3998.10106871605
AT3G17810	690.991949204919	1270.0750327964	571.49609127003	977.571869837871
AT3G17820	578.749602125948	605.035743969937	856.89092547657	650.853662349124
AT3G17830	106.10409372309	70.0041356659431	96.7799314017231	73.6084499085319
AT3G17840	277.975187687766	230.01358861667	407.605988458352	166.587544529835
AT3G17850	567.34998875074	591.284931606984	690.881554094053	808.401572679666
AT3G17860	114.921869929403	27.6241869313614	152.327389364146	69.9074682708687
AT3G17880	247.627978389232	215.982430021366	338.336607375158	301.821339042058
AT3G17890	82.8980688776564	20.0584882260287	86.1123509496199	14.2458394687801
AT3G17900	343.665331627906	357.30433666641	428.792555352758	512.985649869063
AT3G17910	126.272640463843	142.508419034241	135.633188533802	144.634147188694
AT3G17920	112.583185816477	221.635766577426	115.630874490883	256.288196551907
AT3G17930	2699.07768991465	2668.90767226408	2124.21353083928	2439.40985749503
AT3G17940	378.817921391529	396.273410823285	442.927131305696	444.233452079561
AT3G17950	146.246536199087	74.6378267884894	132.897215484923	65.5132074906122
AT3G17970	251.738462352307	204.993087208532	384.964730382129	342.182966966831
AT3G17980	2.6306800096634	35.0020678329716	2.11926857084065	27.1189025978802
AT3G18000	542.796975327215	170.010043760148	678.165942669009	154.965157702172
AT3G18010	17.5378667310893	12.5007385117756	21.8991085653534	27.1189025978802
AT3G18020	25.4299067600795	31.2518462794389	24.0183771361941	47.7809236248365
AT3G18030	272.713827668439	151.258935992484	262.082879927294	133.011760361031
